Tag,Month,Year,Habitat,Site,Pterygodermatites dipodomis,Mastophorus dipodomis,Giardia lamblia ,Cryptosporidium parvum,Eimeria sp,Heteromoxyuris sp,Catenotaenia sp,Sex,Age,Mass g,Foot mm
193,june,2013,urban,AH,NA,NA,NA,0,NA,NA,NA,f,a,33,32
305,sept,2015,urban,AH,NA,NA,NA,0,NA,NA,NA,f,a,44,35
54,june,2013,urban,DACC,NA,NA,NA,0,NA,NA,NA,m,a,44,38
63,june,2013,urban,DACC,NA,NA,NA,0,NA,NA,NA,f,a,41,35
157,june,2013,urban,DACC,NA,NA,NA,0,NA,NA,NA,m,a,39,37
320,sept,2015,wild,GEO,NA,NA,NA,0,NA,NA,NA,f,a,39,39
195,july,2013,wild,SS,NA,NA,NA,0,NA,NA,NA,f,s,28,37
225,aug,2013,urban,CD,0,1,1,0,0,0,0,m,a,42,36
227,aug,2013,urban,CD,0,0,1,0,0,0,0,f,a,45,36
228,aug,2013,urban,CD,0,0,1,1,0,0,0,f,a,44,36
376,aug,2015,urban,DT,0,0,1,0,0,0,0,f,a,45,37
378,aug,2015,urban,DT,0,0,1,0,0,0,0,f,a,42,36
DT11,sept,2015,urban,DT,0,0,1,0,0,0,0,NA,NA,NA,NA
279,nov,2013,urban,PP,0,0,1,0,0,0,0,m,a,38,36
215,aug,2013,wild,LA,0,0,1,0,0,0,0,f,a,50,36
234,aug,2013,wild,LA,NA,NA,1,0,NA,NA,0,m,a,38,37
265,nov,2013,wild,AG,0,1,1,0,0,0,0,m,a,44,37
300,aug,2014,urban,AH,0,0,0,NA,0,0,0,f,a,41,37
301,aug,2014,urban,AH,0,1,0,NA,0,0,0,f,a,40,36
302,aug,2014,urban,AH,0,0,0,NA,0,0,0,m,a,47,39
303,aug,2014,urban,AH,0,1,0,NA,0,0,0,m,a,35,37
304,aug,2014,urban,AH,0,0,0,NA,0,0,0,f,a,34,36
305,oct,2014,urban,AH,1,1,0,NA,0,0,0,f,a,37,37
306,oct,2014,urban,AH,1,1,0,NA,0,0,0,f,a,38,37
307,oct,2014,urban,AH,1,0,0,NA,0,0,0,m,a,41,36
308,oct,2014,urban,AH,1,0,0,NA,0,0,0,f,a,37,36
232,aug,2013,urban,CD,0,0,0,NA,0,0,0,f,a,43,32
335,aug,2014,urban,CD,0,1,0,NA,0,0,0,m,a,46,37
336,aug,2014,urban,CD,0,0,0,NA,0,0,0,m,a,44,36
337,aug,2014,urban,CD,0,1,0,NA,0,0,0,m,a,44,38
338,aug,2014,urban,CD,0,0,0,NA,0,0,0,m,a,41,36
310,oct,2014,urban,DACC,0,0,0,NA,0,0,0,f,a,48,37
311,oct,2014,urban,DACC,1,0,0,NA,0,0,0,m,a,45,38
313,oct,2014,urban,DACC,1,0,0,NA,0,0,0,f,a,43,37
314,oct,2014,urban,DACC,1,1,0,NA,0,0,0,m,a,40,36
315,oct,2014,urban,DACC,1,0,0,NA,0,0,0,m,a,31,35
316,oct,2014,urban,DACC,1,0,0,NA,0,0,0,f,a,39,36
054/065,june,2013,urban,DACC,0,0,0,NA,0,0,0,m,a,44,38
063/064,june,2013,urban,DACC,1,0,0,NA,0,0,0,f,a,41,35
157/158,june,2013,urban,DACC,1,0,0,NA,0,0,0,m,a,39,37
82,june,2013,urban,DT,0,0,0,NA,0,0,0,m,a,51,33
88,june,2013,urban,DT,1,0,0,NA,0,0,0,m,a,48,37
170,june,2013,urban,DT,1,0,0,NA,0,0,0,m,a,42,31
171,june,2013,urban,DT,1,0,0,NA,0,0,0,m,a,31,32
173,june,2013,urban,DT,1,0,0,NA,0,0,0,m,a,33,31
175,june,2013,urban,DT,1,0,0,NA,0,0,0,f,a,52,37
180,june,2013,urban,DT,1,0,0,NA,0,0,0,m,a,34,35
182,june,2013,urban,DT,0,0,0,NA,0,0,0,m,a,47,38
187,june,2013,urban,DT,0,0,0,NA,0,0,0,m,a,41,36
188,june,2013,urban,DT,0,0,0,NA,0,0,0,m,a,31,36
80/81,june,2013,urban,DT,1,0,0,NA,0,0,0,m,a,46,32
91/92,june,2013,urban,DT,1,0,0,NA,0,0,0,f,a,43,37
276,nov,2013,urban,PP,0,1,0,NA,0,0,0,m,a,40,35
281,nov,2014,urban,PP,1,0,0,NA,0,0,0,m,a,45,36
298,aug,2014,urban,PP,0,0,0,NA,0,0,0,m,a,49,37
299,aug,2014,urban,PP,1,0,0,NA,0,0,0,f,a,43,34
327,aug,2014,urban,PP,0,0,0,NA,0,0,0,m,a,39,37
328,aug,2014,urban,PP,0,0,0,NA,0,0,0,m,a,42,38
329,aug,2014,urban,PP,1,1,0,NA,0,0,0,f,a,38,39
330,aug,2014,urban,PP,0,0,0,NA,0,0,0,m,a,48,40
191,june,2013,urban,AH,1,0,0,0,0,0,0,m,a,44,37
192,june,2013,urban,AH,0,0,0,0,0,0,0,m,a,45,35
355,june,2015,urban,AH,0,0,0,0,0,1,0,f,a,35,35
356,june,2015,urban,AH,1,0,0,0,0,0,0,m,NA,NA,36
357,june,2015,urban,AH,1,0,0,0,0,0,0,m,a,46,36
358,june,2015,urban,AH,1,0,0,0,0,0,0,m,a,40,38
359,june,2015,urban,AH,0,0,0,0,0,0,0,m,a,40,37
360,july,2015,urban,AH,1,0,0,0,0,0,0,f,a,41,38
361,july,2015,urban,AH,1,0,0,0,0,0,0,m,a,43,38
394,sept,2015,urban,AH,1,1,0,0,0,0,0,f,a,39,35
396,sept,2015,urban,AH,0,0,0,0,0,0,0,f,a,40,35
398,sept,2015,urban,AH,0,1,0,0,0,0,0,f,a,39,35
400,sept,2015,urban,AH,1,1,0,0,0,0,0,f,a,43,37
402,sept,2015,urban,AH,0,0,0,0,0,0,0,f,a,39,37
403,sept,2015,urban,AH,0,0,0,0,0,0,0,f,a,40,35
223,aug,2013,urban,CD,0,0,0,0,0,0,0,m,a,32,36
229,aug,2013,urban,CD,0,0,0,0,0,0,0,m,a,32,36
230,aug,2013,urban,CD,0,0,0,0,0,0,0,m,a,42,37
231,aug,2013,urban,CD,0,0,0,0,0,0,0,m,a,38,32
233,aug,2013,urban,CD,0,0,0,0,0,0,0,f,a,44,38
370,aug,2015,urban,CD,0,0,0,0,0,0,0,m,a,50,40
371,aug,2015,urban,CD,0,0,0,0,0,0,0,m,a,42,39
407,oct,2015,urban,CD,0,0,0,0,0,0,0,m,a,47,37
408,oct,2015,urban,CD,0,1,0,0,0,0,0,m,a,46,38
CD12,oct,2015,urban,CD,0,0,0,0,0,0,0,NA,NA,NA,NA
CD14,oct,2015,urban,CD,0,1,0,0,0,0,0,NA,NA,NA,NA
226,aug,2013,urban,CD,0,0,0,0,0,0,1,f,a,36,33
155,june,2013,urban,DACC,1,0,0,0,0,0,0,m,a,45,37
163,june,2013,urban,DACC,0,0,0,0,0,0,0,m,a,44,37
168,june,2013,urban,DT,0,0,0,0,0,0,0,f,a,54,32
169,june,2013,urban,DT,1,0,0,0,0,0,0,m,a,42,32
172,june,2013,urban,DT,0,0,0,0,0,0,0,m,a,51,32
174,june,2013,urban,DT,0,0,0,1,0,0,0,f,a,41,31
178,june,2013,urban,DT,0,0,0,0,0,0,0,m,a,45,36
179,june,2013,urban,DT,1,0,0,0,0,0,0,f,a,40,37
181,june,2013,urban,DT,1,0,0,0,0,0,0,m,j,25,36
183,june,2013,urban,DT,1,0,0,0,0,0,0,f,a,45,37
184,june,2013,urban,DT,1,0,0,0,0,0,0,m,a,43,37
186,june,2013,urban,DT,1,0,0,0,0,0,0,m,a,49,36
189,june,2013,urban,DT,1,0,0,1,0,0,0,m,a,42,37
372,aug,2015,urban,DT,1,0,0,0,0,0,0,m,a,46,37
373,aug,2015,urban,DT,0,1,0,0,0,0,0,m,a,50,38
374,aug,2015,urban,DT,1,0,0,0,0,0,0,m,a,45,39
375,aug,2015,urban,DT,0,0,0,0,0,0,0,f,a,38,37
404,sept,2015,urban,DT,0,0,0,0,0,0,0,m,a,48,37
405,sept,2015,urban,DT,0,0,0,0,0,0,0,m,a,41,37
406,oct,2015,urban,DT,0,0,0,0,0,0,0,m,a,45,37
409,oct,2015,urban,DT,0,0,0,0,0,0,0,m,a,43,38
410,oct,2015,urban,DT,0,0,0,0,0,0,0,m,a,53,41
DT10_2,oct,2015,urban,DT,0,0,0,0,0,0,0,NA,NA,NA,NA
DT14,sept,2015,urban,DT,1,0,0,0,0,0,0,NA,NA,NA,NA
DT2_2,oct,2015,urban,DT,1,0,0,0,0,0,0,NA,NA,NA,NA
DT3_2,oct,2015,urban,DT,0,0,0,0,0,0,0,NA,NA,NA,NA
DT6_2,oct,2015,urban,DT,0,0,0,0,0,0,0,NA,NA,NA,NA
DT7_2,oct,2015,urban,DT,0,0,0,0,0,0,0,NA,NA,NA,NA
DT8_2,oct,2015,urban,DT,0,0,0,0,0,0,0,NA,NA,NA,NA
277,nov,2013,urban,PP,1,0,0,0,0,0,0,m,a,45,35
278,nov,2013,urban,PP,1,0,0,0,0,0,0,m,a,37,35
280,nov,2013,urban,PP,1,0,0,0,0,0,0,f,a,36,36
91,NA,2014,wild,AG,0,1,0,NA,0,0,0,NA,NA,NA,NA
99,NA,2014,wild,AG,0,0,0,NA,0,0,0,m,a,NA,NA
260,nov,2013,wild,AG,0,0,0,NA,0,0,0,m,a,39,37
268,nov,2013,wild,AG,0,0,0,NA,0,0,0,f,a,39,34
269,nov,2013,wild,AG,0,0,0,NA,0,0,0,m,a,51,37
270,nov,2013,wild,AG,0,0,0,NA,0,0,0,f,a,44,37
273,nov,2013,wild,AG,0,1,0,NA,0,0,0,m,a,52,38
274,nov,2013,wild,AG,0,0,0,NA,0,0,0,f,a,42,37
282,nov,2013,wild,AG,0,0,0,NA,0,0,0,f,a,38,37
283,nov,2013,wild,AG,0,0,0,NA,0,0,0,f,a,39,38
285,nov,2013,wild,AG,0,0,0,NA,0,0,0,m,a,55,37
286,nov,2013,wild,AG,0,0,0,NA,0,0,0,m,j,29,36
348,aug,2014,wild,AG,0,0,0,NA,0,0,0,f,a,NA,NA
349,aug,2014,wild,AG,0,0,0,NA,0,0,0,f,a,NA,NA
354,aug,2014,wild,AG,0,0,0,NA,0,0,0,m,a,46,37
196/197,NA,2014,wild,AG,0,0,0,NA,0,0,0,m,a,NA,NA
318,oct,2014,wild,GEO,1,0,0,NA,0,0,0,f,a,40,37
319,oct,2014,wild,GEO,1,1,0,NA,0,0,0,m,a,45,39
320,sept,2014,wild,GEO,1,0,0,NA,0,0,0,f,a,41,37
239,aug,2013,wild,LA,0,0,0,NA,0,0,0,m,a,32,32
247,aug,2013,wild,LA,1,0,0,NA,1,0,0,m,a,34,39
252,aug,2013,wild,LA,0,0,0,NA,0,0,0,m,a,39,37
339,aug,2014,wild,LA,0,1,0,NA,0,0,0,m,a,52,38
340,aug,2014,wild,LA,0,0,0,NA,0,0,0,m,a,45,36
341,aug,2014,wild,LA,0,1,0,NA,0,0,0,f,a,44,37
342,aug,2014,wild,LA,1,0,0,NA,0,0,0,f,a,40,34
343,aug,2014,wild,LA,0,0,0,NA,0,0,0,f,a,55,36
345,aug,2014,wild,LA,0,0,0,NA,0,0,0,f,a,43,37
346,aug,2014,wild,LA,0,0,0,NA,0,0,0,f,a,40,37
347,aug,2014,wild,LA,0,1,0,NA,0,0,0,f,a,42,37
323,aug,2014,wild,SS,0,0,0,NA,0,0,0,m,a,43,36
324,aug,2014,wild,SS,0,0,0,NA,0,0,0,f,a,41,36
325,aug,2014,wild,SS,1,0,0,NA,0,0,0,m,a,36,36
326,aug,2014,wild,SS,0,0,0,NA,0,0,0,m,a,39,38
287,june,2014,wild,TT,0,1,0,NA,0,0,0,f,a,48,35
289,june,2014,wild,TT,0,1,0,NA,0,0,0,m,NA,NA,NA
292,june,2014,wild,TT,0,0,0,NA,0,0,0,f,a,35,35
293,juneaug,2014,wild,TT,0,0,0,NA,0,0,0,m,a,49,40
331,aug,2014,wild,TT,0,1,0,NA,0,0,0,m,a,38,38
332,aug,2014,wild,TT,0,0,0,NA,0,0,0,m,a,40,38
413,oct,2015,wild,TT,0,1,0,NA,0,0,0,m,a,38,36
261,nov,2013,wild,AG,0,1,0,0,0,0,0,m,a,50,37
263,nov,2013,wild,AG,0,0,0,0,0,0,0,f,a,49,34
264,nov,2013,wild,AG,1,0,0,0,0,0,0,f,a,43,38
267,nov,2013,wild,AG,0,1,0,0,0,0,0,f,a,45,36
271,nov,2013,wild,AG,0,0,0,0,0,0,0,f,a,NA,NA
272,nov,2013,wild,AG,0,0,0,0,0,0,0,m,a,44,38
284,nov,2013,wild,AG,0,0,0,0,0,0,0,f,a,42,39
262,nov,2013,wild,AG,0,1,0,0,0,0,1,m,a,50,37
203,july,2013,wild,GEO,1,0,0,0,0,0,0,m,a,44,38
204,july,2013,wild,GEO,0,0,0,0,0,0,0,m,a,45,42
205,july,2013,wild,GEO,1,0,0,0,0,0,0,m,a,44,34
207,july,2013,wild,GEO,1,1,0,0,0,1,0,m,a,32,35
317,sept,2015,wild,GEO,1,0,0,0,0,0,0,NA,NA,NA,NA
321,sept,2014,wild,GEO,1,0,0,0,0,0,0,m,a,33,37
362,aug,2015,wild,GEO,0,0,0,0,0,0,0,f,a,48,37
363,aug,2015,wild,GEO,0,0,0,0,0,0,0,m,a,39,37
380,sept,2015,wild,GEO,0,0,0,0,0,0,0,m,a,41,37
383,sept,2015,wild,GEO,0,0,0,0,0,0,0,m,a,44,37
386,sept,2015,wild,GEO,0,0,0,0,0,0,0,f,a,43,36
388,sept,2015,wild,GEO,0,0,0,0,0,0,0,m,a,43,36
390,sept,2015,wild,GEO,0,0,0,0,0,0,0,m,a,47,37
GEOB,sept,2015,wild,GEO,0,1,0,0,0,0,0,NA,NA,NA,NA
235,aug,2013,wild,LA,0,1,0,0,0,0,0,m,a,38,37
236,aug,2013,wild,LA,1,1,0,0,0,0,0,f,a,NA,36
237,aug,2013,wild,LA,0,0,0,0,0,0,0,f,a,33,36
238,aug,2013,wild,LA,0,0,0,0,0,0,0,m,a,53,38
244,aug,2013,wild,LA,0,0,0,0,1,0,0,m,a,34,36
245,aug,2013,wild,LA,0,1,0,0,0,0,0,m,a,43,34
246,aug,2013,wild,LA,1,1,0,0,0,0,0,m,a,35,39
248,aug,2013,wild,LA,0,1,0,0,0,0,0,m,a,51,39
250,aug,2013,wild,LA,0,1,0,0,0,0,0,m,a,42,36
251,aug,2013,wild,LA,0,0,0,0,0,0,0,m,a,49,37
253,aug,2013,wild,LA,1,0,0,0,0,0,0,m,a,32,36
254,aug,2013,wild,LA,1,0,0,0,0,0,0,m,a,41,37
255,aug,2013,wild,LA,1,0,0,0,0,0,0,m,a,35,37
194,july,2013,wild,SS,1,0,0,0,0,0,0,f,a,37,36
196,july,2013,wild,SS,0,1,0,0,0,0,0,m,a,44,39
197,july,2013,wild,SS,1,0,0,0,0,0,0,m,j,22,35
201,july,2013,wild,SS,0,0,0,0,1,0,0,m,a,42,36
210,aug,2013,wild,TT,1,1,0,0,0,0,0,m,a,48,38
211,aug,2013,wild,TT,0,0,0,0,0,0,0,m,a,38,37
212,aug,2013,wild,TT,0,0,0,1,0,0,0,m,a,48,32
213,aug,2013,wild,TT,1,1,0,0,0,0,0,m,a,38,37
412,oct,2015,wild,TT,0,0,0,0,0,0,0,m,a,37,37
TT1,oct,2015,wild,TT,1,0,0,0,0,0,0,NA,NA,NA,NA
TT2,oct,2015,wild,TT,1,0,0,0,0,0,0,NA,NA,NA,NA
TT4,oct,2015,wild,TT,1,0,0,0,0,0,0,NA,NA,NA,NA
TTA,oct,2015,wild,TT,0,0,0,0,0,0,0,NA,NA,NA,NA
TTB,oct,2015,wild,TT,1,0,0,0,0,0,0,NA,NA,NA,NA
